NO;LEVEL;TANGGAL PEMANTAUAN;PERIODE PEMANTAUAN;KODE LOKASI;NAMA LOKASI;ALAMAT LOKASI;PROVINSI;LATITUDE;LONGITUDE;PERUNTUKAN;TSS (mg/L);STATUS KELAYAKAN TERUMBU KARANG BERDASARKAN PARAMETER TSS  (mg/L);DO (mg/L);STATUS KELAYAKAN TERUMBU KARANG BERDASARKAN PARAMETER OKSIGEN TERLARUT  (mg/L);MINYAK & LEMAK (mg/L);STATUS KELAYAKAN TERUMBU KARANG BERDASARKAN PARAMETER MINTAK DAN LEMAK  (mg/L);AMONIA TOTAL (mg/L);STATUS KELAYAKAN TERUMBU KARANG BERDASARKAN PARAMETER AMONIA TOTAL mg/L);ORTOFOSFAT (PO4-P) (mg/L);STATUS KELAYAKAN TERUMBU KARANG BERDASARKAN PARAMETER PO4- (mg/L);BOD (mg/L);STATUS KELAYAKAN TERUMBU KARANG BERDASARKAN PARAMETER BOD (mg/L);SUHU;STATUS KELAYAKAN TERUMBU KARANG BERDASARKAN PARAMETER SUHU;SALINITAS;STATUS KELAYAKAN TERUMBU KARANG BERDASARKAN PARAMETER SALINITAS;KECERAHAN;STATUS KELAYAKAN TERUMBU KARANG BERDASARKAN PARAMETER KECERAHAN;KEKERUHAN (NTU);STATUS KELAYAKAN TERUMBU KARANG BERDASARKAN PARAMETER KEKERUHAN (NTU);PAH (Polisiklik Aromatik Hidrokarbon);STATUS KELAYAKAN TERUMBU KARANG BERDASARKAN PARAMETER PAH;PESTISIDA/HERBISIDA (BHC);STATUS KELAYAKAN TERUMBU KARANG BERDASARKAN PARAMETER PESTISIDA/HERBISIDA (BHC) ;PESTISIDA/HERBISIDA (DDT);STATUS KELAYAKAN TERUMBU KARANG BERDASARKAN PARAMETER PESTISIDA/HERBISIDA (DDT) ;"PESTISIDA/HERBISIDA
(ENDRIN)";STATUS KELAYAKAN TERUMBU KARANG BERDASARKAN PARAMETER PESTISIDA/HERBISIDA (ENDRIN) ;FECAL COLIFORM/E.COLI;STATUS KELAYAKAN TERUMBU KARANG BERDASARKAN PARAMETER FECAL/COLIFORM; (DIC) DISSOLVED OXYGEN CARBON;STATUS KELAYAKAN TERUMBU KARANG BERDASARKAN PARAMETER  (DIC) DISSOLVED OXYGEN CARBON
348;PUSAT;21/08/2021;2;T1-PB-03-003;Papua Barat 03;Fak-fak 03 (Pulau Tubir Seram);Papua Barat;-2.951295;132.321857;Wisata Bahari;20.06;Layak;4.93;Tidak Layak;0.3;Layak;0.06;Layak;0.03;Layak;Tidak ada data;Tidak Layak;28.7;Layak;Tidak ada data;Layak;2.8;Layak;Access Forbidden;Tidak Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Access Forbidden;Tidak Layak;2.4;Layak;Tidak ada data;Tidak ada baku mutu
349;PROVINSI;28/10/2021;1;T3-ST-06-003;Pesisir Morowali;AL-3 BDP Desa Fatufia, Kecamatan Bahodopi;Sulawesi Tengah;-2.792054;122.126093;Biota Laut;62.93;Tidak Layak;5.16;Layak;1;Layak;0.19;Layak;0.03;Layak;4.2;Layak;29.3;Layak;Tidak ada data;Layak;Access Forbidden;Tidak Layak;Access Forbidden;Tidak Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak Layak;Tidak ada data;Tidak ada baku mutu
350;PROVINSI;18/11/2025;1;T1-KU-71-002;Kaltara02;Pantai Amal 1;Kalimantan Utara;3.291808;117.665408;Biota Laut;60.39;Tidak Layak;6.23;Layak;0.5;Layak;0.16;Layak;0.02;Layak;Access Forbidden;Tidak Layak;29.5;Layak;33.9;Layak;Tidak ada data;Layak;Tidak ada data;Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak Layak;Tidak ada data;Tidak ada baku mutu
351;PUSAT;04/06/2020;2;T3-ST-04-001;PPN SULTENG TLI 03;TP-AL IPAL Domestik Air Laut 56 meter arah utara dari jetty head PT PPN - Fuel Terminal Toli-Toli;Sulawesi Tengah;1.111699;120.778733;Pelabuhan;18.83;Layak;6.95;Layak;0.5;Layak;0.2;Layak;0.01;Layak;4.3;Layak;30.7;Layak;32.6;Layak;4.3;Layak;2.4;Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Access Forbidden;Tidak Layak;Tidak ada data;Tidak Layak;Tidak ada data;Tidak ada baku mutu
352;PUSAT;24/07/2022;2;T3-AC-06-001;PT SBA 1;AL 1 PT Solusi Bangun Andalas;Nanggroe Aceh Darussalam;5.452526;95.238557;Pelabuhan;37.07;Layak;5.43;Layak;1;Layak;0.17;Layak;0.03;Layak;Tidak ada data;Tidak Layak;30.4;Layak;Access Forbidden;Tidak Layak;Access Forbidden;Tidak Layak;5.7;Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;2.4;Layak;Tidak ada data;Tidak ada baku mutu
353;PUSAT;19/08/2026;1;T1-GO-71-004;Gortal08;Blue Marlin;Gorontalo;0.492809;123.072197;Wisata Bahari;38.37;Layak;6.53;Layak;0.5;Layak;0.16;Layak;0.03;Layak;Tidak ada data;Tidak Layak;31;Layak;Tidak ada data;Layak;Access Forbidden;Tidak Layak;Tidak ada data;Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Access Forbidden;Tidak Layak;1.8;Layak;Tidak ada data;Tidak ada baku mutu
354;PUSAT;22/09/2022;2;T1-AC-06-003;Aceh03;Pantai Lho-Ng 2;Nanggroe Aceh Darussalam;5.448401;95.233848;Wisata Bahari;29.92;Layak;6.29;Layak;0.5;Layak;0.07;Layak;0.02;Layak;Tidak ada data;Tidak Layak;28.7;Layak;Access Forbidden;Tidak Layak;Access Forbidden;Tidak Layak;1.3;Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;2.4;Layak;Tidak ada data;Tidak ada baku mutu
355;PUSAT;20/07/2020;2;T1-GO-04-002;Gortal15;Pantai Pohon Cinta;Gorontalo;0.444407;121.949429;Wisata Bahari;32.86;Layak;6.89;Layak;0.5;Layak;0.19;Layak;0.03;Layak;Tidak ada data;Tidak Layak;29.7;Layak;33.3;Layak;Access Forbidden;Tidak Layak;Access Forbidden;Tidak Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;2.4;Layak;Tidak ada data;Tidak ada baku mutu
356;PROVINSI;23/09/2024;1;T3-ST-06-008;Pesisir Morowali;AL-8 WTP Desa Muahino;Sulawesi Tengah;-2.175145;121.599899;Biota Laut;36.97;Layak;5.91;Layak;0.3;Layak;0.07;Layak;0.03;Layak;Access Forbidden;Tidak Layak;29.8;Layak;Tidak ada data;Layak;3.9;Layak;3.1;Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak Layak;Tidak ada data;Tidak ada baku mutu
357;PROVINSI;02/12/2022;2;T3-ST-06-002;Pesisir Morowali;AL-2 BDP Desa Fatufia, Kecamatan Bahodopi;Sulawesi Tengah;-2.818702;122.176319;Biota Laut;33.29;Layak;6.81;Layak;1;Layak;0.15;Layak;0.02;Layak;Access Forbidden;Tidak Layak;30.1;Layak;31.9;Layak;2.8;Layak;3.1;Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Access Forbidden;Tidak Layak;1.8;Layak;Tidak ada data;Tidak ada baku mutu
358;PUSAT;17/04/2025;2;T3-JT-01-004;PLN JTG ADI 04;ALT-4 PT. PLN lndonesia Power PLTU Jawa Tengah 2 Adipala;Jawa Tengah;-7.696454;109.135078;Biota Laut;59.22;Tidak Layak;5.96;Layak;0.3;Layak;0.02;Layak;0.04;Layak;Access Forbidden;Tidak Layak;30.8;Layak;31.7;Layak;Access Forbidden;Tidak Layak;Access Forbidden;Tidak Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Access Forbidden;Tidak Layak;2.4;Layak;Tidak ada data;Tidak ada baku mutu
359;PUSAT;07/07/2021;1;T1-SR-02-006;Sulbar06;Pelabuhan Feri Simboro;Sulawesi Barat;-2.667131;118.8678;Pelabuhan;23.67;Layak;6.76;Layak;0.5;Layak;0.13;Layak;0.02;Layak;4.7;Layak;30.8;Layak;Access Forbidden;Tidak Layak;Tidak ada data;Layak;3.1;Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Access Forbidden;Tidak Layak;1.8;Layak;Tidak ada data;Tidak ada baku mutu
360;PUSAT;19/03/2026;2;T1-SS-07-002;Sumsel02;Depan Taman Sembilang 2;Sumatera Selatan;-2.004505;104.691216;Biota Laut;41.64;Layak;5.32;Layak;0.5;Layak;0.06;Layak;0.03;Layak;Access Forbidden;Tidak Layak;30.5;Layak;Tidak ada data;Layak;3.9;Layak;2.8;Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak Layak;Tidak ada data;Tidak ada baku mutu
361;PROVINSI;11/08/2020;2;T3-ST-11-001;DLH T2 AL;Pelabuhan Ferry, Tinakin Laut;Sulawesi Tengah;-1.603138;123.491051;Pelabuhan;37.1;Layak;5.59;Layak;1;Layak;0.06;Layak;0.02;Layak;5.5;Tidak Layak;30.3;Layak;Access Forbidden;Tidak Layak;3.6;Layak;Tidak ada data;Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;1.8;Layak;Tidak ada data;Tidak ada baku mutu
362;PUSAT;29/04/2020;2;T1-PS-01-008;Papua23;Muara Maro-Sisi Barat Wendu;Papua Selatan;-8.451716;140.289236;Wisata Bahari;69.36;Tidak Layak;4.97;Tidak Layak;0.5;Layak;0.1;Layak;0.03;Layak;Access Forbidden;Tidak Layak;28.6;Layak;Access Forbidden;Tidak Layak;4.2;Layak;Tidak ada data;Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Access Forbidden;Tidak Layak;Access Forbidden;Tidak Layak;Tidak ada data;Tidak ada baku mutu
363;PUSAT;16/05/2022;2;T1-PD-71-003;Papbar03;Tanjung Kasuari 1;Papua Barat Daya;-0.825927;131.221248;Wisata Bahari;57.25;Tidak Layak;4.94;Tidak Layak;1;Layak;0.14;Layak;0.04;Layak;Tidak ada data;Tidak Layak;28.6;Layak;33.9;Layak;Access Forbidden;Tidak Layak;Access Forbidden;Tidak Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Access Forbidden;Tidak Layak;1.8;Layak;Tidak ada data;Tidak ada baku mutu
364;PROVINSI;20/02/2025;2;T1-KT-07-004;Kalteng19;Seruyan 4;Kalimantan Tengah;-3.469127;112.561643;Biota Laut;24.05;Layak;5.47;Layak;1;Layak;0.09;Layak;0.02;Layak;Tidak ada data;Tidak Layak;28.7;Layak;Access Forbidden;Tidak Layak;Access Forbidden;Tidak Layak;Tidak ada data;Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Access Forbidden;Tidak Layak;Tidak ada data;Tidak Layak;Tidak ada data;Tidak ada baku mutu
365;PUSAT;29/08/2023;1;T1-BE-71-010;Bengkulu10;Dermaga Pertamina Pelabuhan;Bengkulu;-3.905711;102.295314;Biota Laut;8.67;Layak;5.93;Layak;1;Layak;0.18;Layak;0.04;Layak;Access Forbidden;Tidak Layak;28.9;Layak;Access Forbidden;Tidak Layak;4.7;Layak;Access Forbidden;Tidak Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;2.4;Layak;Tidak ada data;Tidak ada baku mutu
366;PROVINSI;04/05/2019;1;T1-KS-02-001;Kalsel11;Siring Laut-1;Kalimantan Selatan;-3.23533;116.229331;Biota Laut;43.84;Layak;5.02;Layak;1;Layak;0.15;Layak;0.02;Layak;5.2;Tidak Layak;30.6;Layak;34;Layak;Tidak ada data;Layak;Access Forbidden;Tidak Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Access Forbidden;Tidak Layak;Tidak ada data;Tidak Layak;Tidak ada data;Tidak ada baku mutu
367;PUSAT;18/11/2022;1;T3-SU-05-002;PLN SU-02;AL 2 PT. PLN lndonesia Power PLTU Pangkalan Susu;Sumatera Utara;4.160285;98.282687;Pelabuhan;34.74;Layak;5.97;Layak;1;Layak;0.07;Layak;0.03;Layak;Access Forbidden;Tidak Layak;29.6;Layak;Access Forbidden;Tidak Layak;Tidak ada data;Layak;Tidak ada data;Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak Layak;Tidak ada data;Tidak ada baku mutu
368;PUSAT;06/03/2025;2;T1-SR-02-008;Sulbar08;Desa Belang-belang, Kec Kaluku;Sulawesi Barat;-2.497218;119.053531;Wisata Bahari;23.66;Layak;7.18;Layak;0.5;Layak;0.11;Layak;0.03;Layak;Access Forbidden;Tidak Layak;29.9;Layak;31.7;Layak;3.6;Layak;7.4;Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Access Forbidden;Tidak Layak;Tidak ada data;Tidak ada baku mutu
369;PUSAT;17/06/2025;1;T1-AC-71-002;Aceh09;Lampulo 2;Nanggroe Aceh Darussalam;5.592784;95.31549;Pelabuhan;33.73;Layak;5.87;Layak;0.3;Layak;0.13;Layak;0.04;Layak;4.4;Layak;29.1;Layak;Access Forbidden;Tidak Layak;2.9;Layak;Access Forbidden;Tidak Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Access Forbidden;Tidak Layak;Tidak ada data;Tidak ada baku mutu
370;PUSAT;29/03/2025;2;T1-PB-03-002;Papua Barat 02;Areal Pasar Tanjung Wagom;Papua Barat;-2.938999;132.303398;Biota Laut;24.56;Layak;5.78;Layak;0.5;Layak;0.03;Layak;0.03;Layak;5.7;Tidak Layak;31;Layak;33.4;Layak;Access Forbidden;Tidak Layak;6.6;Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Access Forbidden;Tidak Layak;Tidak ada data;Tidak Layak;Tidak ada data;Tidak ada baku mutu
371;PUSAT;19/12/2020;2;T1-JA-75-005;Jambi09;Kuala Sungai Ular;Jambi;-0.973117;103.846265;Biota Laut;36.01;Layak;6.81;Layak;0.3;Layak;0.13;Layak;0.01;Layak;3.4;Layak;29.3;Layak;Tidak ada data;Layak;Access Forbidden;Tidak Layak;1.8;Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Access Forbidden;Tidak Layak;1.8;Layak;Tidak ada data;Tidak ada baku mutu
372;PUSAT;28/03/2022;2;T1-PD-71-004;Papbar04;Tanjung Kasuari 2;Papua Barat Daya;-0.81838;131.218311;Wisata Bahari;22.42;Layak;4.84;Tidak Layak;0.3;Layak;0.1;Layak;0.03;Layak;Access Forbidden;Tidak Layak;30.4;Layak;Tidak ada data;Layak;Tidak ada data;Layak;2.8;Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Access Forbidden;Tidak Layak;Tidak ada data;Tidak Layak;Tidak ada data;Tidak ada baku mutu
373;PROVINSI;20/07/2020;2;T1-KT-07-002;Kalteng17;Seruyan 2;Kalimantan Tengah;-3.333676;112.76293;Biota Laut;39.8;Layak;6.4;Layak;1;Layak;0.18;Layak;0.03;Layak;Access Forbidden;Tidak Layak;29.1;Layak;Access Forbidden;Tidak Layak;4.8;Layak;Tidak ada data;Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak Layak;Tidak ada data;Tidak ada baku mutu
374;PUSAT;08/03/2021;1;T3-AC-06-002;PT SBA 2;AL 2 PT Solusi Bangun Andalas;Nanggroe Aceh Darussalam;5.453654;95.24201;Pelabuhan;60.74;Tidak Layak;6.64;Layak;0.5;Layak;0.19;Layak;0.02;Layak;4.8;Layak;29.1;Layak;Access Forbidden;Tidak Layak;Access Forbidden;Tidak Layak;Tidak ada data;Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Access Forbidden;Tidak Layak;Tidak ada data;Tidak ada baku mutu
375;PUSAT;16/05/2021;2;T1-SR-02-010;Sulbar10;Tempat Pelelangan Ikan (TPI);Sulawesi Barat;-2.659714;118.898258;Pelabuhan;65.98;Tidak Layak;5.98;Layak;0.5;Layak;0.02;Layak;0.02;Layak;Access Forbidden;Tidak Layak;29.6;Layak;Access Forbidden;Tidak Layak;3.3;Layak;Access Forbidden;Tidak Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;1.8;Layak;Tidak ada data;Tidak ada baku mutu
376;PUSAT;21/07/2024;1;T1-PD-71-004;Papbar04;Tanjung Kasuari 2;Papua Barat Daya;-0.821703;131.217824;Wisata Bahari;70.56;Tidak Layak;5.03;Layak;0.5;Layak;0.04;Layak;0.04;Layak;Access Forbidden;Tidak Layak;28.7;Layak;Tidak ada data;Layak;Tidak ada data;Layak;Tidak ada data;Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;1.8;Layak;Tidak ada data;Tidak ada baku mutu
377;PUSAT;14/08/2025;2;T1-PD-71-008;Papbar08;Muara Kali Remu (Dokarim);Papua Barat Daya;-0.900902;131.27036;Biota Laut;57.05;Tidak Layak;6.92;Layak;0.3;Layak;0.13;Layak;0.03;Layak;Access Forbidden;Tidak Layak;30.3;Layak;32.8;Layak;2.7;Layak;Tidak ada data;Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;2.4;Layak;Tidak ada data;Tidak ada baku mutu
378;PUSAT;15/05/2021;2;T1-PD-71-007;Papbar07;Muara Kali Remu;Papua Barat Daya;-0.897809;131.269115;Biota Laut;13.28;Layak;6.46;Layak;0.3;Layak;0.04;Layak;0.02;Layak;Tidak ada data;Tidak Layak;28.9;Layak;Tidak ada data;Layak;4.9;Layak;Tidak ada data;Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak Layak;Tidak ada data;Tidak ada baku mutu
379;PUSAT;07/07/2023;2;T1-PD-71-009;Papbar09;Perbatasan Dokarim dan Pulau Arar;Papua Barat Daya;-0.905989;131.257402;Biota Laut;51.99;Tidak Layak;5.5;Layak;0.3;Layak;0.11;Layak;0.04;Layak;Access Forbidden;Tidak Layak;29.7;Layak;Tidak ada data;Layak;4.6;Layak;Tidak ada data;Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Access Forbidden;Tidak Layak;Tidak ada data;Tidak Layak;Tidak ada data;Tidak ada baku mutu
380;PUSAT;02/09/2020;2;T3-NT-07-006;PPN NTT MAU 02;Air Laut Sesudah Outfall PT PPN - Fuel Terminal Maumere;Nusa Tenggara Timur;-8.633296;122.268486;Pelabuhan;14.15;Layak;6.93;Layak;0.5;Layak;0.07;Layak;0.03;Layak;Tidak ada data;Tidak Layak;31;Layak;Access Forbidden;Tidak Layak;Access Forbidden;Tidak Layak;Tidak ada data;Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Access Forbidden;Tidak Layak;Tidak ada data;Tidak Layak;Tidak ada data;Tidak ada baku mutu
381;PROVINSI;10/08/2022;1;T3-ST-06-004;Pesisir Morowali;AL-4 PLB BGK Kelurahan Marsaoleh, Pelabuhan Bungku;Sulawesi Tengah;-2.540235;121.971927;Biota Laut;50.68;Tidak Layak;4.87;Tidak Layak;0.3;Layak;0.05;Layak;0.03;Layak;Tidak ada data;Tidak Layak;28.7;Layak;Tidak ada data;Layak;Tidak ada data;Layak;5.4;Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;1.8;Layak;Tidak ada data;Tidak ada baku mutu
382;PROVINSI;28/07/2019;2;T3-YO-03-002;Pantai Krakal;Pantai Krakal;Daerah Istimewa Yogyakarta;-8.145031;110.601204;Wisata Bahari;53.84;Tidak Layak;6.76;Layak;1;Layak;0.12;Layak;0.02;Layak;Tidak ada data;Tidak Layak;29.9;Layak;Tidak ada data;Layak;Tidak ada data;Layak;Tidak ada data;Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Access Forbidden;Tidak Layak;Tidak ada data;Tidak ada baku mutu
383;PUSAT;07/06/2022;1;T1-PB-03-005;Papua Barat 05;Fak-fak 05 (Depan TPI);Papua Barat;-2.931563;132.268199;Pelabuhan;35.04;Layak;5.08;Layak;0.5;Layak;0.03;Layak;0.03;Layak;2.3;Layak;28.8;Layak;Access Forbidden;Tidak Layak;Access Forbidden;Tidak Layak;6;Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Access Forbidden;Tidak Layak;2.4;Layak;Tidak ada data;Tidak ada baku mutu
384;PROVINSI;27/08/2021;2;T1-KS-10-003;Kalsel18;Perairan Batulicin 3 (Pelabuhan Tanbu);Kalimantan Selatan;-3.430811;116.016131;Pelabuhan;61.99;Tidak Layak;4.81;Tidak Layak;0.5;Layak;0.07;Layak;0.03;Layak;Access Forbidden;Tidak Layak;28.6;Layak;31.2;Layak;Access Forbidden;Tidak Layak;Tidak ada data;Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Access Forbidden;Tidak Layak;Tidak ada data;Tidak ada baku mutu
385;PUSAT;22/06/2022;2;T3-JT-01-001;PLN JTG ADI 01;ALT-1 PT. PLN lndonesia Power PLTU Jawa Tengah 2 Adipala;Jawa Tengah;-7.691351;109.13991;Biota Laut;52.18;Tidak Layak;6.24;Layak;1;Layak;0.05;Layak;0.01;Layak;3.3;Layak;30.9;Layak;Tidak ada data;Layak;Access Forbidden;Tidak Layak;2.3;Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak Layak;Tidak ada data;Tidak ada baku mutu
386;PROVINSI;05/02/2021;2;T1-KB-12-002;Kalbar22;Muara Sungai Kapuas 2;Kalimantan Barat;-0.053441;109.090018;Biota Laut;68.49;Tidak Layak;7.12;Layak;1;Layak;0.18;Layak;0.04;Layak;Tidak ada data;Tidak Layak;28.9;Layak;31.4;Layak;Tidak ada data;Layak;Tidak ada data;Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;2.4;Layak;Tidak ada data;Tidak ada baku mutu
387;PROVINSI;19/03/2024;1;T3-SB-05-005;Sumbar 43;Pantai Ulakan;Sumatera Barat;-0.696749;100.172529;Wisata Bahari;24.14;Layak;6.05;Layak;0.3;Layak;0.11;Layak;0.02;Layak;Tidak ada data;Tidak Layak;29.9;Layak;Access Forbidden;Tidak Layak;3.9;Layak;Tidak ada data;Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Access Forbidden;Tidak Layak;Tidak ada data;Tidak Layak;Tidak ada data;Tidak ada baku mutu
388;PROVINSI;25/07/2020;1;T1-KT-07-003;Kalteng18;Seruyan 3;Kalimantan Tengah;-3.368382;112.703586;Wisata Bahari;61.35;Tidak Layak;5.29;Layak;0.3;Layak;0.02;Layak;0.03;Layak;Tidak ada data;Tidak Layak;29;Layak;Access Forbidden;Tidak Layak;Access Forbidden;Tidak Layak;Access Forbidden;Tidak Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;1.8;Layak;Tidak ada data;Tidak ada baku mutu
389;PROVINSI;06/06/2020;2;T3-ST-06-009;Pesisir Morowali;AL-9 WTP Desa Muahino;Sulawesi Tengah;-2.172696;121.592206;Biota Laut;30.72;Layak;6.42;Layak;0.3;Layak;0.14;Layak;0.02;Layak;Access Forbidden;Tidak Layak;29;Layak;32.1;Layak;Access Forbidden;Tidak Layak;6.5;Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Access Forbidden;Tidak Layak;1.8;Layak;Tidak ada data;Tidak ada baku mutu
